4.957460317	562.164	[1] 
4.963265306	608.808	[1] 
4.969070295	548.704	[1] 
4.974875283	549.052	[1] 
4.980680272	532.193	[1] 
4.986485261	535.054	[1] 
4.992290249	531.934	[1] 
4.998095238	531.175	[1] 
5.003900227	532.356	[1] 
5.009705215	521.365	[1] 
5.015510204	592.268	[1] 
5.021315193	592.367	[1] 
5.027120181	536.468	[1] 
5.032925170	536.009	[1] 
5.038730159	570.019	[1] 
5.044535147	601.053	[1]
